DOY,X-m,Y-m,Z-m,SDx,SDy,SDz,E-m,N-m,H-m,
001,-938078.1862,5968373.9013,2038404.3170,0.0021,0.0044,0.0017,492872.7029,2074370.7678,308.8713,1.0000
002,-938078.1814,5968373.8961,2038404.3204,0.0020,0.0044,0.0017,492872.6990,2074370.7730,308.8669,2.0000
003,-938078.1841,5968373.9044,2038404.3187,0.0020,0.0045,0.0017,492872.7003,2074370.7686,308.8745,3.0000
004,-938078.1848,5968373.9059,2038404.3241,0.0020,0.0044,0.0017,492872.7009,2074370.7732,308.8777,4.0000
005,-938078.1793,5968373.9011,2038404.3182,0.0020,0.0043,0.0017,492872.6962,2074370.7694,308.8706,5.0000
006,-938078.1855,5968373.9058,2038404.3162,0.0021,0.0047,0.0018,492872.7015,2074370.7657,308.8752,6.0000
007,-938078.1914,5968373.9113,2038404.3196,0.0020,0.0044,0.0017,492872.7065,2074370.7668,308.8824,7.0000
008,-938078.1883,5968373.8973,2038404.3126,0.0020,0.0045,0.0017,492872.7056,2074370.7649,308.8665,8.0000
009,-938078.1847,5968373.9076,2038404.3135,0.0020,0.0043,0.0017,492872.7005,2074370.7626,308.8759,9.0000
010,-938078.1843,5968373.9106,2038404.3192,0.0020,0.0045,0.0017,492872.6996,2074370.7671,308.8805,10.0000
011,-938078.1882,5968373.9013,2038404.3128,0.0022,0.0048,0.0018,492872.7049,2074370.7638,308.8703,11.0000
012,-938078.1945,5968373.9101,2038404.3155,0.0020,0.0044,0.0017,492872.7097,2074370.7632,308.8803,12.0000
013,-938078.1894,5968373.9074,2038404.3153,0.0021,0.0046,0.0018,492872.7052,2074370.7641,308.8770,13.0000
014,-938078.1897,5968373.9025,2038404.3133,0.0022,0.0046,0.0018,492872.7062,2074370.7638,308.8718,14.0000
015,-938078.1885,5968373.8971,2038404.3130,0.0021,0.0046,0.0018,492872.7059,2074370.7653,308.8665,15.0000
016,-938078.1852,5968373.8992,2038404.3152,0.0021,0.0045,0.0017,492872.7022,2074370.7669,308.8687,16.0000
017,-938078.1873,5968373.8944,2038404.3121,0.0020,0.0044,0.0017,492872.7051,2074370.7654,308.8635,17.0000
018,-938078.1927,5968373.9024,2038404.3147,0.0020,0.0044,0.0017,492872.7092,2074370.7650,308.8726,18.0000
019,-938078.1870,5968373.9071,2038404.3144,0.0021,0.0045,0.0017,492872.7028,2074370.7635,308.8761,19.0000
020,-938078.1923,5968373.9021,2038404.3108,0.0022,0.0045,0.0017,492872.7088,2074370.7614,308.8710,20.0000
021,-938078.1872,5968373.9088,2038404.3174,0.0021,0.0044,0.0017,492872.7027,2074370.7658,308.8786,21.0000
022,-938078.1895,5968373.9153,2038404.3189,0.0020,0.0043,0.0017,492872.7040,2074370.7650,308.8855,22.0000
023,-938078.1865,5968373.9023,2038404.3167,0.0020,0.0045,0.0017,492872.7030,2074370.7672,308.8722,23.0000
024,-938078.2027,5968373.9274,2038404.3228,0.0023,0.0046,0.0018,492872.7151,2074370.7643,308.9001,24.0000
025,-938078.1874,5968373.9128,2038404.3237,0.0022,0.0046,0.0018,492872.7023,2074370.7705,308.8845,25.0000
026,-938078.1837,5968373.9224,2038404.3172,0.0020,0.0045,0.0018,492872.6972,2074370.7614,308.8908,26.0000
027,-938078.1808,5968373.9134,2038404.3187,0.0020,0.0044,0.0018,492872.6957,2074370.7659,308.8824,27.0000
028,-938078.1826,5968373.9145,2038404.3197,0.0022,0.0048,0.0019,492872.6973,2074370.7664,308.8841,28.0000
029,-938078.1794,5968373.9118,2038404.3144,0.0020,0.0044,0.0017,492872.6945,2074370.7624,308.8794,29.0000
030,-938078.1733,5968373.9009,2038404.3150,0.0021,0.0045,0.0017,492872.6903,2074370.7667,308.8684,30.0000
031,-938078.1842,5968373.9117,2038404.3140,0.0020,0.0044,0.0017,492872.6993,2074370.7618,308.8798,31.0000
032,-938078.1840,5968373.9114,2038404.3122,0.0020,0.0043,0.0017,492872.6992,2074370.7602,308.8790,32.0000
033,-938078.1836,5968373.9182,2038404.3187,0.0021,0.0044,0.0018,492872.6978,2074370.7642,308.8873,33.0000
034,-938078.1825,5968373.9206,2038404.3150,0.0020,0.0045,0.0018,492872.6962,2074370.7600,308.8882,34.0000
035,-938078.1776,5968373.9098,2038404.3151,0.0023,0.0046,0.0018,492872.6931,2074370.7638,308.8774,35.0000
036,-938078.1780,5968373.9156,2038404.3162,0.0021,0.0046,0.0018,492872.6926,2074370.7629,308.8833,36.0000
037,-938078.1789,5968373.9187,2038404.3162,0.0021,0.0046,0.0018,492872.6930,2074370.7620,308.8863,37.0000
038,-938078.1861,5968373.9125,2038404.3130,0.0021,0.0045,0.0017,492872.7011,2074370.7605,308.8805,38.0000
039,-938078.1862,5968373.9200,2038404.3176,0.0022,0.0047,0.0019,492872.7000,2074370.7625,308.8890,39.0000
040,-938078.1766,5968373.9058,2038404.3141,0.0021,0.0044,0.0018,492872.6927,2074370.7642,308.8732,40.0000
041,-938078.1833,5968373.9034,2038404.3130,0.0023,0.0046,0.0018,492872.6997,2074370.7635,308.8716,41.0000
042,-938078.1809,5968373.9117,2038404.3109,0.0023,0.0049,0.0019,492872.6960,2074370.7590,308.8783,42.0000
043,-938078.1801,5968373.9146,2038404.3181,0.0021,0.0044,0.0017,492872.6948,2074370.7650,308.8833,43.0000
044,-938078.1832,5968373.9096,2038404.3134,0.0020,0.0044,0.0016,492872.6987,2074370.7620,308.8775,44.0000
045,-938078.1809,5968373.9072,2038404.3149,0.0020,0.0041,0.0016,492872.6967,2074370.7642,308.8754,45.0000
046,-938078.1785,5968373.9095,2038404.3114,0.0020,0.0043,0.0017,492872.6940,2074370.7603,308.8761,46.0000
047,-938078.1847,5968373.9086,2038404.3180,0.0022,0.0043,0.0017,492872.7003,2074370.7665,308.8782,47.0000
048,-938078.1837,5968373.9042,2038404.3135,0.0024,0.0045,0.0017,492872.7000,2074370.7637,308.8726,48.0000
049,-938078.1793,5968373.9028,2038404.3161,0.0025,0.0049,0.0018,492872.6959,2074370.7668,308.8715,49.0000
050,-938078.1647,5968373.8926,2038404.3140,0.0032,0.0056,0.0022,492872.6830,2074370.7689,308.8591,50.0000
051,-938078.1789,5968373.9130,2038404.3176,0.0026,0.0049,0.0019,492872.6939,2074370.7651,308.8814,51.0000
052,-938078.1838,5968373.9010,2038404.3126,0.0022,0.0048,0.0018,492872.7006,2074370.7639,308.8693,52.0000
053,-938078.1782,5968373.9078,2038404.3102,0.0023,0.0047,0.0018,492872.6940,2074370.7598,308.8741,53.0000
054,-938078.1910,5968373.9226,2038404.3149,0.0027,0.0049,0.0018,492872.7044,2074370.7588,308.8913,54.0000
055,-938078.1789,5968373.9190,2038404.3179,0.0028,0.0050,0.0020,492872.6930,2074370.7634,308.8872,55.0000
056,-938078.1698,5968373.9189,2038404.3194,0.0022,0.0047,0.0018,492872.6840,2074370.7654,308.8862,56.0000
057,-938078.1684,5968373.9135,2038404.3182,0.0020,0.0042,0.0016,492872.6834,2074370.7660,308.8805,57.0000
058,-938078.1687,5968373.8866,2038404.3156,0.0020,0.0044,0.0018,492872.6880,2074370.7721,308.8546,58.0000
059,-938078.1745,5968373.9076,2038404.3144,0.0020,0.0043,0.0017,492872.6903,2074370.7639,308.8747,59.0000
060,-938078.1727,5968373.9276,2038404.3232,0.0022,0.0043,0.0017,492872.6856,2074370.7661,308.8960,60.0000
061,-938078.1777,5968373.9205,2038404.3222,0.0021,0.0044,0.0018,492872.6916,2074370.7671,308.8897,61.0000
062,-938078.1761,5968373.9247,2038404.3206,0.0021,0.0044,0.0018,492872.6893,2074370.7643,308.8929,62.0000
063,-938078.1812,5968373.9216,2038404.3181,0.0021,0.0047,0.0019,492872.6948,2074370.7627,308.8899,63.0000
064,-938078.1849,5968373.9282,2038404.3178,0.0027,0.0052,0.0021,492872.6975,2074370.7601,308.8966,64.0000
065,-938078.1809,5968373.9226,2038404.3167,0.0023,0.0051,0.0019,492872.6944,2074370.7611,308.8904,65.0000
066,-938078.1818,5968373.9196,2038404.3162,0.0025,0.0049,0.0019,492872.6958,2074370.7616,308.8876,66.0000
067,-938078.1757,5968373.9186,2038404.3111,0.0020,0.0042,0.0016,492872.6898,2074370.7573,308.8841,67.0000
068,-938078.1821,5968373.9299,2038404.3164,0.0020,0.0043,0.0017,492872.6945,2074370.7584,308.8973,68.0000
069,-938078.1748,5968373.9112,2038404.3106,0.0021,0.0043,0.0017,492872.6901,2074370.7593,308.8769,69.0000
070,-938078.1768,5968373.9188,2038404.3111,0.0022,0.0043,0.0017,492872.6909,2074370.7572,308.8844,70.0000
071,-938078.1800,5968373.9150,2038404.3107,0.0023,0.0046,0.0018,492872.6947,2074370.7579,308.8812,71.0000
072,-938078.1808,5968373.9249,2038404.3160,0.0021,0.0049,0.0020,492872.6939,2074370.7596,308.8923,72.0000
073,-938078.1834,5968373.9339,2038404.3196,0.0020,0.0042,0.0017,492872.6951,2074370.7601,308.9023,73.0000
074,-938078.1754,5968373.9323,2038404.3187,0.0019,0.0042,0.0017,492872.6874,2074370.7601,308.8993,74.0000
075,-938078.1795,5968373.9270,2038404.3147,0.0021,0.0043,0.0017,492872.6923,2074370.7579,308.8937,75.0000
076,-938078.1785,5968373.9395,2038404.3172,0.0020,0.0043,0.0017,492872.6894,2074370.7563,308.9061,76.0000
077,-938078.1785,5968373.9225,2038404.3161,0.0021,0.0045,0.0018,492872.6921,2074370.7607,308.8898,77.0000
078,-938078.1752,5968373.9208,2038404.3139,0.0022,0.0052,0.0021,492872.6890,2074370.7593,308.8869,78.0000
079,-938078.1807,5968373.9275,2038404.3065,0.0020,0.0043,0.0017,492872.6934,2074370.7499,308.8917,79.0000
080,-938078.1832,5968373.9306,2038404.3136,0.0020,0.0043,0.0017,492872.6954,2074370.7555,308.8972,80.0000
081,-938078.1779,5968373.9346,2038404.3178,0.0022,0.0048,0.0019,492872.6896,2074370.7584,308.9016,81.0000
082,-938078.1798,5968373.9156,2038404.3126,0.0034,0.0064,0.0025,492872.6944,2074370.7595,308.8824,82.0000
083,-938078.1820,5968373.9044,2038404.3064,0.0024,0.0053,0.0021,492872.6983,2074370.7571,308.8702,83.0000
084,-938078.1805,5968373.9273,2038404.3125,0.0021,0.0044,0.0017,492872.6933,2074370.7556,308.8933,84.0000
085,-938078.1871,5968373.9282,2038404.3187,0.0036,0.0064,0.0026,492872.6996,2074370.7608,308.8972,85.0000
086,-938078.1611,5968373.9150,2038404.3055,0.0026,0.0052,0.0020,492872.6760,2074370.7539,308.8767,86.0000
087,-938078.1733,5968373.9128,2038404.3108,0.0034,0.0062,0.0025,492872.6884,2074370.7590,308.8782,87.0000
088,-938078.1697,5968373.9226,2038404.3095,0.0042,0.0085,0.0032,492872.6833,2074370.7549,308.8864,88.0000
089,-938078.1740,5968373.9240,2038404.3158,0.0026,0.0049,0.0019,492872.6874,2074370.7601,308.8905,89.0000
090,-938078.1708,5968373.9396,2038404.3197,0.0039,0.0065,0.0026,492872.6818,2074370.7591,308.9058,90.0000
091,-938078.1723,5968373.9272,2038404.3132,0.0040,0.0076,0.0032,492872.6852,2074370.7567,308.8923,91.0000
092,-938078.1804,5968373.9199,2038404.3100,0.0033,0.0055,0.0022,492872.6943,2074370.7556,308.8857,92.0000
093,-938078.1697,5968373.9187,2038404.3149,0.0030,0.0052,0.0022,492872.6839,2074370.7612,308.8845,93.0000
094,-938078.1731,5968373.9319,2038404.3215,0.0022,0.0046,0.0018,492872.6852,2074370.7630,308.8995,94.0000
095,-938078.1640,5968373.9255,2038404.3200,0.0030,0.0048,0.0019,492872.6772,2074370.7641,308.8917,95.0000
096,-938078.1681,5968373.9362,2038404.3213,0.0023,0.0045,0.0018,492872.6797,2074370.7618,308.9027,96.0000
097,-938078.1651,5968373.9334,2038404.3237,0.0025,0.0047,0.0019,492872.6771,2074370.7651,308.9005,97.0000
099,-938078.1594,5968373.9288,2038404.3155,0.0047,0.0077,0.0029,492872.6722,2074370.7591,308.8927,98.0000
100,-938078.1843,5968373.9305,2038404.3143,0.0036,0.0059,0.0023,492872.6965,2074370.7562,308.8975,99.0000
101,-938078.1772,5968373.9227,2038404.3100,0.0048,0.0070,0.0028,492872.6907,2074370.7549,308.8878,100.0000
102,-938078.1613,5968373.9139,2038404.3085,0.0035,0.0055,0.0023,492872.6764,2074370.7570,308.8767,101.0000
103,-938078.1879,5968373.9202,2038404.3113,0.0049,0.0065,0.0027,492872.7017,2074370.7564,308.8874,102.0000
104,-938078.1705,5968373.9360,2038404.3182,0.0042,0.0063,0.0025,492872.6821,2074370.7587,308.9019,103.0000
105,-938078.1816,5968373.9407,2038404.3145,0.0023,0.0043,0.0017,492872.6922,2074370.7532,308.9067,104.0000
106,-938078.1770,5968373.9287,2038404.3098,0.0028,0.0057,0.0022,492872.6896,2074370.7529,308.8933,105.0000
107,-938078.1721,5968373.9092,2038404.3218,0.0196,0.0179,0.0083,492872.6878,2074370.7706,308.8783,106.0000
108,-938078.1845,5968373.9381,2038404.3187,0.0046,0.0088,0.0034,492872.6955,2074370.7579,308.9061,107.0000
114,-938078.1759,5968373.9445,2038404.3211,0.0029,0.0046,0.0018,492872.6861,2074370.7586,308.9116,108.0000
115,-938078.1822,5968373.9313,2038404.3134,0.0023,0.0045,0.0017,492872.6943,2074370.7551,308.8977,109.0000
116,-938078.1670,5968373.9283,2038404.3081,0.0026,0.0055,0.0021,492872.6797,2074370.7518,308.8909,110.0000
117,-938078.1730,5968373.9293,2038404.3087,0.0024,0.0046,0.0018,492872.6855,2074370.7518,308.8930,111.0000
118,-938078.1765,5968373.9369,2038404.3141,0.0021,0.0045,0.0017,492872.6878,2074370.7543,308.9023,112.0000
119,-938078.1853,5968373.9442,2038404.3090,0.0024,0.0054,0.0021,492872.6954,2074370.7467,308.9088,113.0000
120,-938078.1758,5968373.9311,2038404.3113,0.0021,0.0049,0.0019,492872.6880,2074370.7535,308.8959,114.0000
121,-938078.1660,5968373.9344,2038404.3193,0.0021,0.0044,0.0017,492872.6778,2074370.7606,308.9001,115.0000
122,-938078.1617,5968373.9271,2038404.3179,0.0020,0.0043,0.0017,492872.6747,2074370.7618,308.8922,116.0000
123,-938078.1749,5968373.9173,2038404.3072,0.0023,0.0048,0.0019,492872.6892,2074370.7541,308.8815,117.0000
124,-938078.1814,5968373.9297,2038404.3112,0.0020,0.0047,0.0018,492872.6938,2074370.7536,308.8954,118.0000
125,-938078.1816,5968373.9279,2038404.3089,0.0020,0.0044,0.0017,492872.6943,2074370.7520,308.8929,119.0000
126,-938078.1765,5968373.9267,2038404.3088,0.0020,0.0042,0.0017,492872.6894,2074370.7526,308.8910,120.0000
127,-938078.1823,5968373.9400,2038404.3132,0.0022,0.0046,0.0018,492872.6931,2074370.7522,308.9058,121.0000
128,-938078.1790,5968373.9351,2038404.3120,0.0022,0.0046,0.0019,492872.6905,2074370.7528,308.9003,122.0000
129,-938078.1850,5968373.9241,2038404.3083,0.0022,0.0047,0.0018,492872.6982,2074370.7525,308.8898,123.0000
130,-938078.1871,5968373.9207,2038404.3096,0.0022,0.0045,0.0018,492872.7008,2074370.7546,308.8873,124.0000
131,-938078.1809,5968373.9264,2038404.3128,0.0026,0.0052,0.0021,492872.6937,2074370.7561,308.8927,125.0000
132,-938078.1780,5968373.9277,2038404.3087,0.0025,0.0056,0.0021,492872.6907,2074370.7520,308.8922,126.0000
133,-938078.1850,5968373.9346,2038404.3134,0.0023,0.0044,0.0018,492872.6966,2074370.7540,308.9011,127.0000
134,-938078.1828,5968373.9371,2038404.3155,0.0027,0.0057,0.0022,492872.6940,2074370.7553,308.9039,128.0000
