DOY,X-m,Y-m,Z-m,SDx,SDy,SDz,E-m,N-m,H-m,
135,-938078.1761,5968373.9217,2038404.3087,0.0033,0.0061,0.0027,492872.6898,2074370.7540,308.8863,129.0000
136,-938078.1814,5968373.9062,2038404.3080,0.0028,0.0060,0.0024,492872.6974,2074370.7580,308.8724,130.0000
137,-938078.1818,5968373.9347,2038404.3109,0.0020,0.0045,0.0018,492872.6934,2074370.7517,308.9000,131.0000
138,-938078.1777,5968373.9052,2038404.2969,0.0023,0.0048,0.0020,492872.6939,2074370.7480,308.8673,132.0000
139,-938078.1761,5968373.9345,2038404.3042,0.0020,0.0043,0.0017,492872.6877,2074370.7457,308.8968,133.0000
140,-938078.1725,5968373.9343,2038404.3022,0.0020,0.0044,0.0017,492872.6842,2074370.7440,308.8954,134.0000
141,-938078.1769,5968373.9252,2038404.3053,0.0022,0.0049,0.0020,492872.6900,2074370.7497,308.8886,135.0000
142,-938078.1743,5968373.9387,2038404.3084,0.0023,0.0051,0.0021,492872.6853,2074370.7484,308.9018,136.0000
143,-938078.1699,5968373.9268,2038404.3058,0.0022,0.0048,0.0019,492872.6829,2074370.7499,308.8892,137.0000
146,-938078.1676,5968373.9298,2038404.3034,0.0020,0.0045,0.0017,492872.6802,2074370.7469,308.8909,138.0000
147,-938078.1742,5968373.9278,2038404.3067,0.0020,0.0046,0.0018,492872.6869,2074370.7503,308.8910,139.0000
148,-938078.1808,5968373.9263,2038404.3056,0.0030,0.0051,0.0019,492872.6937,2074370.7494,308.8903,140.0000
149,-938078.1737,5968373.9261,2038404.3067,0.0033,0.0055,0.0022,492872.6867,2074370.7509,308.8894,141.0000
150,-938078.1732,5968373.9307,2038404.3024,0.0020,0.0045,0.0017,492872.6855,2074370.7454,308.8922,142.0000
151,-938078.1735,5968373.9403,2038404.3060,0.0020,0.0045,0.0017,492872.6843,2074370.7457,308.9025,143.0000
152,-938078.1747,5968373.9152,2038404.2980,0.0022,0.0046,0.0018,492872.6894,2074370.7461,308.8766,144.0000
155,-938078.1734,5968373.9225,2038404.3017,0.0021,0.0048,0.0018,492872.6870,2074370.7473,308.8844,145.0000
163,-938078.1794,5968373.9209,2038404.2993,0.0023,0.0047,0.0017,492872.6932,2074370.7452,308.8829,146.0000
168,-938078.1776,5968373.9266,2038404.2948,0.0026,0.0051,0.0019,492872.6905,2074370.7392,308.8867,147.0000
169,-938078.1728,5968373.9253,2038404.2976,0.0022,0.0046,0.0017,492872.6860,2074370.7426,308.8856,148.0000
173,-938078.1784,5968373.9298,2038404.3073,0.0022,0.0045,0.0017,492872.6908,2074370.7501,308.8938,149.0000
174,-938078.1903,5968373.9194,2038404.3040,0.0022,0.0045,0.0018,492872.7042,2074370.7496,308.8847,150.0000
175,-938078.1752,5968373.9123,2038404.2988,0.0026,0.0051,0.0020,492872.6904,2074370.7477,308.8742,151.0000
176,-938078.1821,5968373.9301,2038404.2994,0.0024,0.0047,0.0018,492872.6944,2074370.7422,308.8921,152.0000
177,-938078.1777,5968373.9245,2038404.2993,0.0023,0.0045,0.0017,492872.6909,2074370.7442,308.8861,153.0000
178,-938078.1717,5968373.9207,2038404.2926,0.0022,0.0045,0.0018,492872.6856,2074370.7394,308.8795,154.0000
179,-938078.1747,5968373.9226,2038404.2989,0.0021,0.0044,0.0017,492872.6883,2074370.7446,308.8838,155.0000
180,-938078.1757,5968373.9194,2038404.2954,0.0022,0.0046,0.0017,492872.6898,2074370.7422,308.8798,156.0000
181,-938078.1862,5968373.9494,2038404.3074,0.0022,0.0047,0.0018,492872.6954,2074370.7435,308.9132,157.0000
182,-938078.1729,5968373.9319,2038404.3042,0.0021,0.0045,0.0017,492872.6850,2074370.7468,308.8939,158.0000
183,-938078.1737,5968373.9169,2038404.2934,0.0021,0.0045,0.0018,492872.6882,2074370.7412,308.8765,159.0000
184,-938078.1756,5968373.9237,2038404.2993,0.0021,0.0045,0.0017,492872.6889,2074370.7446,308.8850,160.0000
185,-938078.1760,5968373.9088,2038404.2933,0.0021,0.0044,0.0017,492872.6916,2074370.7436,308.8692,161.0000
186,-938078.1754,5968373.9211,2038404.2942,0.0023,0.0045,0.0018,492872.6891,2074370.7405,308.8809,162.0000
187,-938078.1694,5968373.9389,2038404.3013,0.0023,0.0045,0.0017,492872.6804,2074370.7419,308.8990,163.0000
188,-938078.1695,5968373.9304,2038404.2998,0.0021,0.0044,0.0017,492872.6819,2074370.7432,308.8906,164.0000
189,-938078.1636,5968373.9228,2038404.2901,0.0021,0.0045,0.0017,492872.6772,2074370.7367,308.8794,165.0000
190,-938078.1693,5968373.9347,2038404.2970,0.0021,0.0046,0.0018,492872.6810,2074370.7392,308.8937,166.0000
191,-938078.1625,5968373.9179,2038404.2931,0.0021,0.0044,0.0017,492872.6769,2074370.7411,308.8758,167.0000
192,-938078.1629,5968373.9055,2038404.2982,0.0021,0.0045,0.0017,492872.6793,2074370.7499,308.8658,168.0000
193,-938078.1661,5968373.9209,2038404.2956,0.0021,0.0044,0.0017,492872.6800,2074370.7424,308.8798,169.0000
194,-938078.1653,5968373.9154,2038404.2952,0.0020,0.0045,0.0017,492872.6801,2074370.7438,308.8744,170.0000
195,-938078.1649,5968373.8935,2038404.2888,0.0022,0.0046,0.0018,492872.6831,2074370.7447,308.8519,171.0000
196,-938078.1744,5968373.9075,2038404.2927,0.0020,0.0045,0.0017,492872.6903,2074370.7435,308.8676,172.0000
197,-938078.1739,5968373.9141,2038404.2913,0.0021,0.0048,0.0018,492872.6888,2074370.7401,308.8733,173.0000
198,-938078.1737,5968373.9236,2038404.2934,0.0021,0.0045,0.0017,492872.6871,2074370.7390,308.8828,174.0000
199,-938078.1759,5968373.9136,2038404.2967,0.0020,0.0044,0.0017,492872.6908,2074370.7453,308.8749,175.0000
200,-938078.1673,5968373.9141,2038404.2961,0.0021,0.0046,0.0017,492872.6823,2074370.7450,308.8738,176.0000
201,-938078.1783,5968373.9251,2038404.3043,0.0020,0.0044,0.0017,492872.6914,2074370.7487,308.8884,177.0000
202,-938078.1797,5968373.9309,2038404.3017,0.0021,0.0046,0.0018,492872.6919,2074370.7443,308.8931,178.0000
203,-938078.1644,5968373.9108,2038404.3032,0.0020,0.0045,0.0017,492872.6799,2074370.7529,308.8726,179.0000
204,-938078.1695,5968373.9201,2038404.3029,0.0020,0.0044,0.0017,492872.6835,2074370.7494,308.8820,180.0000
205,-938078.1757,5968373.9126,2038404.3008,0.0021,0.0045,0.0018,492872.6908,2074370.7495,308.8751,181.0000
206,-938078.1794,5968373.9094,2038404.2943,0.0020,0.0046,0.0017,492872.6950,2074370.7441,308.8706,182.0000
207,-938078.1733,5968373.9161,2038404.2925,0.0021,0.0045,0.0017,492872.6879,2074370.7406,308.8754,183.0000
208,-938078.1799,5968373.9155,2038404.2946,0.0023,0.0052,0.0020,492872.6945,2074370.7424,308.8765,184.0000
209,-938078.1646,5968373.9115,2038404.2974,0.0020,0.0045,0.0017,492872.6800,2074370.7472,308.8714,185.0000
210,-938078.1759,5968373.9071,2038404.2940,0.0022,0.0048,0.0018,492872.6918,2074370.7448,308.8679,186.0000
211,-938078.1857,5968373.9214,2038404.3027,0.0022,0.0048,0.0018,492872.6993,2074370.7480,308.8855,187.0000
212,-938078.1734,5968373.9204,2038404.2951,0.0021,0.0045,0.0017,492872.6873,2074370.7417,308.8803,188.0000
213,-938078.1725,5968373.9196,2038404.2975,0.0020,0.0045,0.0018,492872.6865,2074370.7443,308.8802,189.0000
214,-938078.1806,5968373.9107,2038404.2926,0.0020,0.0044,0.0017,492872.6959,2074370.7421,308.8715,190.0000
215,-938078.1819,5968373.9227,2038404.2966,0.0020,0.0046,0.0018,492872.6953,2074370.7420,308.8842,191.0000
216,-938078.1780,5968373.9206,2038404.2991,0.0021,0.0047,0.0018,492872.6918,2074370.7452,308.8824,192.0000
217,-938078.1802,5968373.9287,2038404.2988,0.0021,0.0047,0.0018,492872.6927,2074370.7422,308.8903,193.0000
218,-938078.1804,5968373.9070,2038404.2931,0.0021,0.0045,0.0018,492872.6963,2074370.7437,308.8681,194.0000
219,-938078.1827,5968373.9180,2038404.2980,0.0021,0.0048,0.0019,492872.6969,2074370.7447,308.8803,195.0000
220,-938078.1745,5968373.9023,2038404.2878,0.0021,0.0047,0.0018,492872.6912,2074370.7405,308.8611,196.0000
221,-938078.1832,5968373.8982,2038404.2852,0.0021,0.0047,0.0018,492872.7004,2074370.7389,308.8578,197.0000
222,-938078.1844,5968373.9134,2038404.2909,0.0020,0.0043,0.0017,492872.6992,2074370.7394,308.8740,198.0000
223,-938078.1805,5968373.9159,2038404.2940,0.0020,0.0044,0.0017,492872.6950,2074370.7417,308.8768,199.0000
224,-938078.1844,5968373.9159,2038404.2924,0.0021,0.0046,0.0018,492872.6989,2074370.7401,308.8769,200.0000
225,-938078.1784,5968373.9035,2038404.2902,0.0020,0.0046,0.0018,492872.6948,2074370.7422,308.8637,201.0000
226,-938078.1754,5968373.9113,2038404.2881,0.0020,0.0044,0.0017,492872.6907,2074370.7379,308.8698,202.0000
227,-938078.1685,5968373.9069,2038404.2889,0.0020,0.0045,0.0017,492872.6845,2074370.7404,308.8649,203.0000
228,-938078.1799,5968373.9206,2038404.2884,0.0021,0.0045,0.0017,492872.6937,2074370.7350,308.8793,204.0000
229,-938078.1706,5968373.9148,2038404.2914,0.0026,0.0046,0.0019,492872.6854,2074370.7401,308.8735,205.0000
230,-938078.1809,5968373.9103,2038404.2940,0.0022,0.0047,0.0018,492872.6963,2074370.7435,308.8716,206.0000
231,-938078.1717,5968373.9077,2038404.2906,0.0021,0.0046,0.0017,492872.6875,2074370.7415,308.8667,207.0000
232,-938078.1775,5968373.9157,2038404.2901,0.0020,0.0045,0.0017,492872.6921,2074370.7382,308.8749,208.0000
233,-938078.1780,5968373.9098,2038404.2905,0.0020,0.0045,0.0017,492872.6935,2074370.7405,308.8696,209.0000
234,-938078.1695,5968373.9090,2038404.2969,0.0020,0.0047,0.0018,492872.6852,2074370.7472,308.8696,210.0000
235,-938078.1606,5968373.9027,2038404.2967,0.0021,0.0048,0.0018,492872.6775,2074370.7495,308.8624,211.0000
237,-938078.1629,5968373.9010,2038404.2941,0.0020,0.0044,0.0017,492872.6800,2074370.7475,308.8603,212.0000
238,-938078.1731,5968373.9133,2038404.2963,0.0020,0.0045,0.0018,492872.6881,2074370.7451,308.8740,213.0000
239,-938078.1750,5968373.9188,2038404.2907,0.0020,0.0046,0.0017,492872.6891,2074370.7380,308.8776,214.0000
240,-938078.1790,5968373.9256,2038404.2905,0.0020,0.0047,0.0018,492872.6920,2074370.7354,308.8845,215.0000
241,-938078.1721,5968373.9174,2038404.2918,0.0020,0.0047,0.0017,492872.6865,2074370.7396,308.8762,216.0000
242,-938078.1726,5968373.9195,2038404.2896,0.0021,0.0046,0.0018,492872.6867,2074370.7369,308.8776,217.0000
243,-938078.1795,5968373.9349,2038404.2954,0.0021,0.0047,0.0018,492872.6911,2074370.7371,308.8948,218.0000
244,-938078.1637,5968373.9277,2038404.2927,0.0020,0.0047,0.0018,492872.6766,2074370.7376,308.8849,219.0000
245,-938078.1728,5968373.9127,2038404.2893,0.0022,0.0048,0.0019,492872.6879,2074370.7387,308.8712,220.0000
246,-938078.1696,5968373.9074,2038404.2851,0.0020,0.0045,0.0018,492872.6856,2074370.7365,308.8644,221.0000
247,-938078.1710,5968373.9183,2038404.2907,0.0020,0.0045,0.0018,492872.6853,2074370.7383,308.8766,222.0000
248,-938078.1723,5968373.9165,2038404.2870,0.0019,0.0044,0.0017,492872.6868,2074370.7354,308.8738,223.0000
249,-938078.1672,5968373.9126,2038404.2842,0.0020,0.0045,0.0018,492872.6823,2074370.7342,308.8686,224.0000
250,-938078.1635,5968373.9144,2038404.2851,0.0019,0.0044,0.0017,492872.6785,2074370.7346,308.8700,225.0000
251,-938078.1677,5968373.9076,2038404.2823,0.0024,0.0053,0.0020,492872.6836,2074370.7340,308.8633,226.0000
253,-938078.1625,5968373.9132,2038404.2826,0.0020,0.0045,0.0017,492872.6777,2074370.7327,308.8680,227.0000
254,-938078.1549,5968373.9004,2038404.2863,0.0020,0.0046,0.0018,492872.6722,2074370.7407,308.8561,228.0000
255,-938078.1717,5968373.9041,2038404.2920,0.0020,0.0046,0.0018,492872.6882,2074370.7440,308.8638,229.0000
256,-938078.1771,5968373.9269,2038404.2936,0.0020,0.0046,0.0018,492872.6899,2074370.7380,308.8864,230.0000
257,-938078.1676,5968373.9043,2038404.2863,0.0020,0.0045,0.0017,492872.6841,2074370.7388,308.8615,231.0000
258,-938078.1840,5968373.9079,2038404.2930,0.0020,0.0046,0.0018,492872.6997,2074370.7432,308.8694,232.0000
259,-938078.1776,5968373.9111,2038404.2892,0.0019,0.0045,0.0017,492872.6929,2074370.7389,308.8703,233.0000
260,-938078.1733,5968373.9284,2038404.2972,0.0020,0.0045,0.0017,492872.6860,2074370.7412,308.8885,234.0000
261,-938078.1680,5968373.9067,2038404.2844,0.0019,0.0044,0.0017,492872.6841,2074370.7363,308.8632,235.0000
262,-938078.1593,5968373.9031,2038404.2814,0.0020,0.0044,0.0017,492872.6760,2074370.7349,308.8576,236.0000
263,-938078.1613,5968373.9116,2038404.2838,0.0021,0.0046,0.0018,492872.6767,2074370.7345,308.8666,237.0000
264,-938078.1676,5968373.9218,2038404.2894,0.0020,0.0047,0.0019,492872.6814,2074370.7362,308.8789,238.0000
265,-938078.1666,5968373.9215,2038404.2869,0.0020,0.0047,0.0019,492872.6804,2074370.7339,308.8777,239.0000
266,-938078.1683,5968373.9093,2038404.2857,0.0021,0.0048,0.0019,492872.6840,2074370.7366,308.8662,240.0000
267,-938078.1664,5968373.9123,2038404.2842,0.0020,0.0044,0.0017,492872.6817,2074370.7343,308.8682,241.0000
268,-938078.1677,5968373.9068,2038404.2897,0.0020,0.0045,0.0018,492872.6837,2074370.7412,308.8650,242.0000
269,-938078.1603,5968373.9003,2038404.2868,0.0021,0.0046,0.0018,492872.6775,2074370.7409,308.8569,243.0000
270,-938078.1662,5968373.9116,2038404.2884,0.0022,0.0049,0.0019,492872.6816,2074370.7386,308.8689,244.0000
271,-938078.1539,5968373.9020,2038404.2909,0.0021,0.0049,0.0019,492872.6709,2074370.7446,308.8589,245.0000
272,-938078.1530,5968373.9199,2038404.2939,0.0020,0.0045,0.0017,492872.6672,2074370.7418,308.8764,246.0000
273,-938078.1606,5968373.9187,2038404.2912,0.0023,0.0050,0.0019,492872.6749,2074370.7392,308.8755,247.0000
274,-938078.1566,5968373.9096,2038404.2828,0.0022,0.0048,0.0019,492872.6724,2074370.7343,308.8638,248.0000
275,-938078.1520,5968373.9030,2038404.2847,0.0021,0.0046,0.0018,492872.6688,2074370.7385,308.8576,249.0000
276,-938078.1603,5968373.9052,2038404.2807,0.0022,0.0047,0.0018,492872.6768,2074370.7336,308.8595,250.0000
277,-938078.1605,5968373.9101,2038404.2871,0.0022,0.0048,0.0019,492872.6762,2074370.7380,308.8662,251.0000
278,-938078.1560,5968373.9104,2038404.2884,0.0021,0.0045,0.0018,492872.6717,2074370.7394,308.8662,252.0000
279,-938078.1543,5968373.9019,2038404.2846,0.0021,0.0045,0.0017,492872.6713,2074370.7386,308.8568,253.0000
280,-938078.1636,5968373.9003,2038404.2840,0.0022,0.0047,0.0018,492872.6808,2074370.7381,308.8565,254.0000
281,-938078.1571,5968373.9052,2038404.2835,0.0024,0.0047,0.0019,492872.6736,2074370.7364,308.8600,255.0000
288,-938078.1697,5968373.9277,2038404.2927,0.0021,0.0046,0.0017,492872.6825,2074370.7373,308.8859,256.0000
